company,status,board_url,ats_type,jobs_read,source_url,notes,original_reason
Case Western Reserve University,University follow-up required,,,,https://employment.case.edu/,Official employment.case.edu redirects classic PeopleSoft HRS_HRAM.HRS_APP_SCHJOB.GBL; current adapter only Fluid. Internal hcm.case.edu path was excluded.,no_board_found
Cotiviti,Added and verified,https://careers-cotiviti.icims.com/jobs/search?ss=1&in_iframe=1,icims,84,https://www.cotiviti.com/careers,Board registration read back from live database.,no_url_at_all
Stantec,Further adapter investigation required,,,,https://rr.jobsyn.org/DA14A4150E7143699BBB80B353657C331554,,needs_adapter
"Pyramid Consulting, Inc",Search leads saved — validation pending,,,,https://www.pyramidcg.com/candidates,Search results are unverified leads; no board added.,staffing_firm
Cloudera,Added and verified,https://cloudera.wd5.myworkdayjobs.com/External_Career,workday,70,https://www.cloudera.com/careers.html,Board registration read back from live database.,no_url_at_all
Niagara Bottling,Added and verified,https://niagarawater.wd5.myworkdayjobs.com/Niagara,workday,355,https://careers.niagarawater.com/us/en/phoenix-1,Board registration read back from live database.,no_url_at_all
Vanderbilt University,Added and verified,https://ecsr.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1,oracle,140,https://www.vanderbilt.edu/work-at-vanderbilt/,Board registration read back from live database.,no_board_found
Black & Veatch,Fetch failed during check,,,,https://careers.blackveatch.com,"ConnectTimeout: HTTPSConnectionPool(host='careers.blackveatch.com', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<HTTPSConnection(host='careers.blackveatch.com', port=443) at 0x1ebe51b6d",no_board_found
Medidata Solutions,Further adapter investigation required,,,,https://www.3ds.com/careers/jobs/principal-devops-engineer-549974,,needs_adapter
Publix Super Markets,Further adapter investigation required,,,,https://corporate.publix.com/careers,,no_url_at_all
Publix,Further adapter investigation required,,,,https://sjobs.brassring.com/TGNewUI/Search/Home/Homewithpreload?partnerid=26173&siteid=5197&Pagetype=jobdetails&jobid=1429122&codes=Indeed,,needs_adapter
"University of California, Riverside",University follow-up required,,,,https://jobsportal.ucr.edu/,Official Angular public /api/jobs returns127 jobs and /api/jobs/id full details. Unintegrated prototype in proposed_ucr_adapter.py; stopped new implementation for user quick-wrap request.,needs_adapter
Rush University Medical Center,University follow-up required,,,,https://tinyurl.com/bdf7m4e6?rumc,"Official rush.edu external-applicant shortlink resolves Infor CandidateSelfService port1444, JobBoardRUSHEXTERNAL. Current adapters do not support Infor.",no_board_found
LS Solutions,Fetch failed during check,,,,https://www.ls-sol.com/contact-us,"ReadTimeout: HTTPSConnectionPool(host='www.ls-sol.com', port=443): Read timed out. (read timeout=8.0)",no_url_at_all
Siemens Energy,Added and verified,https://jobs.siemens-energy.com/en_US/jobs/SearchJobsUS,avature_links,500,https://jobs.siemens-energy.com/en_US/jobs/SearchJobsUS,Board registration read back from live database.,no_board_found
Zifo,Added and verified,https://apply.workable.com/zifo,workable,37,https://apply.workable.com/zifo/j/2B2D6E78CE,Board registration read back from live database.,needs_adapter
C3 AI,Readable — identity review pending,https://job-boards.greenhouse.io/c3ascend,greenhouse,2,https://job-boards.greenhouse.io/c3ascend,,no_url_at_all
Applied Systems,Held for identity or scope review,,,,,Original Ashby link belongs to Applied Intuition. Replacement discovered; requires final validation.,no_board_found
InfoVision Inc.,Further adapter investigation required,,,,https://careers.infovision.com,,no_board_found
Shutterfly,Public portal restricted during check,,,,https://careers.shutterfly.com,,no_board_found
Credit One Bank,Public portal restricted during check,,,,https://careers.creditonebank.com,,no_board_found
Veeva Systems,Provided URL unavailable,,,,https://jobs.lever.co/veeva,,board_guessed_unverified
New York City Department of Education,Further adapter investigation required,,,,https://nychb.teacherssupportnetwork.com/guest/ShowVacancyDetails.do?vacancyId=27149,,needs_adapter
Molex,Fetch failed during check,,,,https://molex.com/careers,"ReadTimeout: HTTPSConnectionPool(host='www.molex.com', port=443): Read timed out. (read timeout=8.0)",no_url_at_all
City National Bank,Provided URL unavailable,,,,https://careers.cnb.com/jobs/jobs/13740/job?utm_source=indeed_integration&iis=Job%20Board&iisn=Indeed&indeed-apply-token=73a2d2b2a8d6d5c0a62696875eaebd669103652d3f0c2cd5445d3e66b1592b0f,,needs_adapter
Compass Group USA,Held for identity or scope review,,,,,"Original Greenhouse link belongs to real estate Compass, not Compass Group USA.",needs_adapter
University of New Mexico,Added and verified,https://unm.csod.com/ux/ats/careersite/18/home,cornerstone,759,https://jobs.unm.edu/,Board registration read back from live database.,no_board_found
Catalent Pharma Solutions,Already configured,https://catalent.wd1.myworkdayjobs.com/External,workday,334,https://careers.catalent.com/us/en/job/CATAUS0096625EXTERNALENUS/Associate-Project-Manager?utm_source=indeed&utm_medium=phenom-feeds,Board registration read back from live database.,needs_adapter
SUNY Upstate Medical University,University follow-up required,https://careers.upstate.edu/jobs/search,pageup,,https://careers.upstate.edu/,PartialScrapeError: Incomplete PageUp listing: PageUp listing returned no new postings,needs_adapter
The University of Kansas,Added and verified,https://employment.ku.edu/jobs,ku,148,https://employment.ku.edu/jobs,Board registration read back from live database.,no_url_at_all
New York Technology Partners,Further adapter investigation required,,,,https://www.nytp.com/career-opportunities,,no_url_at_all
Akkodis,Further adapter investigation required,,,,https://karriere.akkodis.no/jobs,,no_url_at_all
Remitly,Further adapter investigation required,,,,https://careers.remitly.com/,,no_board_found
Burns & McDonnell,Further adapter investigation required,,,,https://rr.jobsyn.org/F399C404CD4F43CAB0D901A008F06B8C1554,,needs_adapter
"Siri InfoSolutions, Inc.",Provided URL unavailable,,,,https://siriinfosolutions.com/careers,,staffing_firm
Transamerica,Further adapter investigation required,,,,https://careers.transamerica.com,,no_board_found
Dematic,Readable — identity review pending,https://kiongroup.wd3.myworkdayjobs.com/KION_SCS,workday,370,https://dematic.com/careers,,no_url_at_all
World Wide Technology,Further adapter investigation required,,,,https://recruiting.adp.com/srccsh/public/RTI.home?r=5001226133100&c=2166501&d=WWTExternalCareerSite&rb=INDEED&idUnique=5001226133100,,needs_adapter
Ryder System,Further adapter investigation required,,,,https://rr.jobsyn.org/FA38F320C3F54C09942B7B2EAD0C3DAF1554,,needs_adapter
AutoZone,Blocked — unchanged,,,,,Explicit live admin blocklist; skipped.,blocklisted
The University of Texas Medical Branch,University follow-up required,,,,https://applyjobs.utmb.edu/,"Officialsource retrieved, but no fully validated supported board behind it during this audit.",no_url_at_all
Georgia State University,Added and verified,https://gsu.taleo.net/careersection/2/jobsearch.ftl,taleo,78,https://hr.gsu.edu/careers/,Board registration read back from live database.,no_board_found
Syracuse University,Added and verified,https://www.sujobopps.com/postings/search,peopleadmin,222,https://www.sujobopps.com/postings/search,Board registration read back from live database.,no_board_found
University of Nebraska Medical Center,Added and verified,https://unmc.peopleadmin.com/postings/search,peopleadmin,211,https://unmc.peopleadmin.com/postings/search,Board registration read back from live database.,no_board_found
Applied Intuition,Added and verified,https://jobs.ashbyhq.com/applied,ashby,293,https://www.appliedintuition.com/ja/careers,Board registration read back from live database.,no_url_at_all
Tyler Technologies,Added and verified,https://jobs.jobvite.com/tylertech,jobvite,106,https://jobs.jobvite.com/careers/tylertech/job/oJSLAfwG?__jvst=job+board&__jvsd=Indeed,Board registration read back from live database.,needs_adapter
Penske Truck Leasing,Further adapter investigation required,,,,https://rr.jobsyn.org/05A26E164E7B4651976BEAC628AE8E221554,,needs_adapter
R Systems,Further adapter investigation required,,,,https://careers.rsystems.com,,no_board_found
Mindlance,Added and verified,https://www1.jobdiva.com/portal/?a=7fjdnw91pq69jlvngz1gp518iugamw00c66623tmx447r7e3lkr3gqqpqjhpy8mo,jobdiva,2820,https://mindlance.com/job-board/,Board registration read back from live database.,no_url_at_all
National Grid,Further adapter investigation required,,,,https://jobs.nationalgrid.com/usa/jobs/11094/lead-data-engineer,,needs_adapter
"LanceSoft, Inc.",Further adapter investigation required,,,,https://careers.lancesoft.com,,no_board_found
ARGO,Further adapter investigation required,,,,https://www.argospace.com/careers,,no_url_at_all
"American Unit, Inc",Further adapter investigation required,,,,https://www.americanunit.com/open-positions.php,,no_url_at_all
Etsy,Further adapter investigation required,,,,https://careers.etsy.com,,no_board_found
Mohawk Industries,Adapter validation unresolved,https://careers.mohawkind.com,successfactors,0,https://careers.mohawkind.com/DalTile,,no_url_at_all
Maximus,Added and verified,https://maximus.avature.net/careers/SearchJobs,avature,288,https://maximus.avature.net/careers/FolderDetail/United-States-Cloud-Engineer-ACOP/43243?source=eQuest,Board registration read back from live database.,needs_adapter
Kansas State University,University follow-up required,https://careers.pageuppeople.com/742/cw/en-us/listing/,pageup,,https://careers.k-state.edu/,ValueError: PageUp listing returned no new postings,needs_adapter
LiveRamp,Added and verified,https://liveramp.wd5.myworkdayjobs.com/LiveRampCareers,workday,45,https://liveramp.com/careers,Board registration read back from live database.,no_url_at_all
Precision Technologies,Further adapter investigation required,,,,https://www.precision-techno.com/current-job-openings/cnc-machine-operator,,no_url_at_all
Research Foundation of The City University of New York,University follow-up required,,,,https://www.rfcuny.org/careers/,Corrected officialsource returned HTTP404,no_url_at_all
Fannie Mae,Added and verified,https://fanniemae.wd1.myworkdayjobs.com/FannieMaeCareers,workday,58,https://www.fanniemae.com/careers/search-all-jobs,Board registration read back from live database.,no_board_found
uString Solutions LLC,Further adapter investigation required,,,,https://ustringsolutions.com/careers-detail.php?jid=43,,needs_adapter
Trimble,Further adapter investigation required,,,,https://careers.trimble.com,,no_board_found
University of Kansas Medical Center,Added and verified,https://kumc.wd5.myworkdayjobs.com/kumc-jobs,workday,153,https://www.kumc.edu/human-resources/careers.html,Board registration read back from live database.,no_url_at_all
RELX,Fetch failed during check,,,,https://relx.com/careers,"ConnectionError: HTTPSConnectionPool(host='relx.com', port=443): Max retries exceeded with url: /careers (Caused by NewConnectionError(""HTTPSConnection(host='relx.com', port=443): Failed to establish a new connection:",no_url_at_all
Wood,Public portal restricted during check,,,,https://woodgroupkenny.com/careers,,no_url_at_all
Regions Bank,Further adapter investigation required,,,,https://regions.dejobs.org/job-titles/mortgage-loan-officer-texas/jobs/,,no_url_at_all
Uline,Public portal restricted during check,,,,https://www.uline.jobs/JobDetails?source=1-INDEED&jobid=R267547,,needs_adapter
Sonata Software North America Inc.,Further adapter investigation required,,,,https://www.sonata-software.com/sonatacx/en/ContactUs,,no_url_at_all
FTI,Adapter validation unresolved,https://careers-fti-net.icims.com/jobs/search?ss=1&in_iframe=1,icims,0,https://www.ftidefense.com/careers,PartialScrapeError: iCIMS posting identity is invalid,no_url_at_all
Blackhawk Network,Provided URL unavailable,,,,https://careers-blackhawknetwork.icims.com/jobs/,,no_url_at_all
Gemini,Readable — identity review pending,https://job-boards.greenhouse.io/gemini,greenhouse,37,https://job-boards.greenhouse.io/gemini,,board_guessed_unverified
CHRISTUS Health,Further adapter investigation required,,,,https://careers.christushealth.org/opportunity/application-system-analyst-lead-mychart-355737?utm_campaign=Indeed,,needs_adapter
Kirkland & Ellis,Public portal restricted during check,,,,https://staffjobsus.kirkland.com/jobs/18233854-marketing-operations-coordinator?tm_job=8978-1A&tm_event=view&tm_company=2169,,needs_adapter
Turo,Added and verified,https://turo.wd12.myworkdayjobs.com/Turo_careers,workday,30,https://turo.com/us/en/careers,Board registration read back from live database.,no_url_at_all
Vizient,Further adapter investigation required,,,,https://careers.vizient.com,,no_board_found
Sparksoft Corporation,Further adapter investigation required,,,,https://www.sparksoftcorp.com/,,no_url_at_all
New Era Technology,Adapter validation unresolved,https://job-boards.greenhouse.io/neweratechnology,greenhouse,0,https://www.neweratech.com/en-gb/careers,,no_url_at_all
Bloom Energy,Added and verified,https://bloomenergy.wd1.myworkdayjobs.com/BloomEnergyCareers,workday,182,https://www.bloomenergy.com/careers/,Board registration read back from live database.,no_url_at_all
SGS Technologie,Further adapter investigation required,,,,https://www.sgstechnologies.net/about-us,,no_url_at_all
Western Alliance Bank,Provided URL unavailable,,,,https://careers.westernalliancebank.com/,,no_board_found
Zipline,Further adapter investigation required,,,,https://zipline.com/careers,,no_url_at_all
Clayco,Further adapter investigation required,,,,https://claycorp.com/careers/interns,,no_url_at_all
Utah State University,Added and verified,https://careers-usu.icims.com/jobs/search?ss=1&in_iframe=1,icims,141,https://hr.usu.edu/jobs/,Board registration read back from live database.,no_board_found
Emory Healthcare,Fetch failed during check,,,,https://emoryhealthcare.org/careers,"SSLError: HTTPSConnectionPool(host='emoryhealthcare.org', port=443): Max retries exceeded with url: /careers (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify ",no_url_at_all
Dimensional Fund Advisors,Further adapter investigation required,,,,https://careers.dimensionalfundadvisors.com,,no_board_found
ADT,Further adapter investigation required,,,,https://jobs.adt.com,,no_board_found
The Fountain Group,Further adapter investigation required,,,,https://careers.fountain.com/,,no_board_found
Omnicell,Further adapter investigation required,,,,https://careers.omnicell.com,,no_board_found
Aditi Consulting,Added and verified,https://jobs.smartrecruiters.com/AditiConsulting1,smartrecruiters,5,https://careers.smartrecruiters.com/AditiConsulting1?oga=true,Board registration read back from live database.,no_url_at_all
Flexton Inc.,Further adapter investigation required,,,,https://niyukjobs.ai/jobs-at-flexton-inc-1,,no_url_at_all
"Forge Group, LLC",Added and verified,https://forgegroupllc.isolvedhire.com/jobs/,applicantpro,19,https://forgegroupllc.isolvedhire.com/jobs/1856349-102300.html,Board registration read back from live database.,needs_adapter
Indegene,Adapter validation unresolved,https://careers.indegene.com,successfactors,0,https://careers.indegene.com/,,no_board_found
Sanford Health,Added and verified,https://sanford.wd5.myworkdayjobs.com/SanfordHealth,workday,970,https://sanfordcareers.com/sanford-health/,Board registration read back from live database.,no_board_found
NextEra Energy Resources,Readable — identity review pending,https://jobs.nexteraenergy.com,successfactors,306,https://jobs.nexteraenergy.com/go/NextEra-Energy-Resources/2674200/1000?q=&sortColumn=sort_title&sortDirection=desc,,no_url_at_all
THOUGHT BYTE,Further adapter investigation required,,,,https://thoughtbyte.com/job-seeker/,,no_url_at_all
Tekgence Inc,Further adapter investigation required,,,,https://www.careers-page.com/tekgence-inc,,no_url_at_all
George Mason University,University follow-up required,https://listings.jobs.gmu.edu/jobs/search,pageup,,https://listings.jobs.gmu.edu/jobs/search,PartialScrapeError: Incomplete PageUp listing: PageUp listing returned no new postings,no_board_found
ICONMA,Further adapter investigation required,,,,https://iconma.com/career/,,no_url_at_all
CHS Inc.,Fetch failed during check,,,,https://chsinc.com/careers,ValueError: blocked non-public URL: https://jobs.www.chsinc.com/,no_url_at_all
TSMC,Adapter validation unresolved,https://careers.tsmc.com/en_US/careers/SearchJobs,avature,0,https://careers.tsmc.com,,no_board_found
American Tower,Further adapter investigation required,,,,https://careers.americantower.com,,no_board_found
Ashley Furniture Industries,Further adapter investigation required,,,,https://careers.ashleyfurniture.com/,,no_board_found
Parker Hannifin,Public portal restricted during check,,,,https://parkercareers.ttcportals.com/jobs/18253314-project-mgr-npd?tm_job=68790-1A&tm_event=view&tm_company=1147,,needs_adapter
GRAIL,Added and verified,https://jobs.lever.co/grailbio,lever,20,https://grail.com/careers/,Board registration read back from live database.,no_url_at_all
Allstate Insurance,Added and verified,https://allstate.wd5.myworkdayjobs.com/allstate_careers,workday,479,https://www.allstate.jobs/job/23885496/senior-data-engineer-con-ii-illinois-city-il/?source=IndeedOrganicJB,Board registration read back from live database.,needs_adapter
Perkins&Will,Added and verified,https://recruiting2.ultipro.com/PER1007PWILL/JobBoard/0ca393a4-bf82-4db6-acae-91e6a0315a4a,ultipro,153,https://perkinswill.com/careers/,Board registration read back from live database.,no_url_at_all
Tyson Foods,Added and verified,https://tysonfoods.wd5.myworkdayjobs.com/TSN5,workday,470,https://www.tysonfoods.com/humboldt-jobs-and-careers,Board registration read back from live database.,no_url_at_all
"VMC Soft Technologies, Inc",Public portal restricted during check,,,,https://www.career.com/job/vmc-soft-technologies-inc/application-infrastructure-support-engineer/j202604171900028775002,,no_url_at_all
MediaTek,Further adapter investigation required,,,,https://careers.mediatek.com,,no_board_found
Redfin,Already configured,,,,,,board_guessed_unverified
IMCS Group,Further adapter investigation required,,,,https://imcsgroup.net/career/,,no_url_at_all
Lehigh University,Added and verified,https://careers.pageuppeople.com/865/cw/en-us/listing/,pageup,31,https://careers.pageuppeople.com/865/cw/en-us/listing/,Board registration read back from live database.,needs_adapter
New York Power Authority,Added and verified,https://careers.nypa.gov,successfactors,83,https://careers.nypa.gov/viewalljobs/,Board registration read back from live database.,no_url_at_all
Zoom Communications,Further adapter investigation required,,,,https://careers.zoom.us/jobs/software-engineer-san-jose-california-united-states-64292c47-54ef-4753-8b70-75b4f376da1b,,needs_adapter
Safran,Further adapter investigation required,,,,https://safran.com/careers,,no_url_at_all
University of Denver,Added and verified,https://careers.pageuppeople.com/885/cw/en-us/listing/,pageup,91,https://jobs.du.edu/cw/en-us/listing/,Board registration read back from live database.,needs_adapter
BASF,Further adapter investigation required,,,,https://careers.basf.com,,no_board_found
First Horizon Bank,Added and verified,https://ibpwjb.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1,oracle,255,https://ibpwjb.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/1140,Board registration read back from live database.,needs_adapter
Apex Systems,Search leads saved — validation pending,,,,https://www.apexsystems.com/,Search results are unverified leads; no board added.,staffing_firm
Angi,Readable — identity review pending,https://jobs.ashbyhq.com/angi,ashby,53,https://jobs.ashbyhq.com/angi,,board_guessed_unverified
Daimler Truck North America,Added and verified,https://dtna.wd5.myworkdayjobs.com/DTNA_external,workday,86,https://northamerica.daimlertruck.com/careers/internships,Board registration read back from live database.,no_url_at_all
Intellisoft Technologies,Further adapter investigation required,,,,https://www.intellisofttechnologies.com/Current-openings.shtml,,no_url_at_all
Hitachi Rail,Further adapter investigation required,,,,https://hitachirail.com/careers,,no_url_at_all
BMC Software,Added and verified,https://jobs.bmc.com/en_US/Careers/SearchJobs,avature,87,https://jobs.bmc.com/Careers/JobDetail/Assoc-Project-Analyst-USA/47531,Board registration read back from live database.,needs_adapter
AGCO Corporation,Added and verified,https://careers.agcocorp.com,successfactors,181,https://careers.agcocorp.com/job/Tremont-Data-Scientist-IL/1431155000/,Board registration read back from live database.,needs_adapter
Cubic Corporation,Held for identity or scope review,,,,,"Search hit selected electrical-panel company CUBIC/Rockwell, not Cubic Corporation.",no_url_at_all
American Credit Acceptance,Public portal restricted during check,,,,https://careers.americancreditacceptance.com/en/jobs/18158675-jr-software-engineer-part-time?tm_job=526&tm_event=view&tm_company=94100,,needs_adapter
Infoblox,Added and verified,https://efpv.fa.us6.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1,oracle,80,https://www.infoblox.com/jp/company/careers/,Board registration read back from live database.,no_url_at_all
QVC,Readable — identity review pending,https://qvc.wd5.myworkdayjobs.com/QRG,workday,167,https://qvc.wd5.myworkdayjobs.com/en-US/QRG/job/Pennsylvania-Remote/Sales---Product-Planning-Coordinator_R82520,,no_url_at_all
Worldpay,Public portal restricted during check,,,,https://jobs.worldpay.com,,no_board_found
Baker Tilly US,Public portal restricted during check,,,,https://careers.bakertilly.com,,no_board_found
Henkel,Further adapter investigation required,,,,https://jobs.henkel.com,,no_board_found
