match_score,title,company,location,remote,pay,max_years_exp,jd_sponsorship,url
57,"Senior Business Analyst, ServiceNow",ICE,"Atlanta, Georgia; Jacksonville, Florida, United States",,,5,,https://careers-ice.icims.com/jobs/13028/login
57,Senior Quality Assurance Engineer,ICE,"Jacksonville, Florida; Atlanta, Georgia; Dallas, Texas, United States",,,7,,https://careers-ice.icims.com/jobs/13642/login
57,"Principal Engineer, Full Stack Development",ICE,"Atlanta, Georgia; Jacksonville, Florida, United States",,,7,,https://careers-ice.icims.com/jobs/13656/login
57,Cloud and DevOps Engineer (5–8 yrs),Advanced Space,"Westminster, CO",,,5,blocked,https://job-boards.greenhouse.io/advancedspace/jobs/4376621009
57,Senior Data Scientist,Gradera,"Dallas/Fort Worth, TX - Hybrid",,,5,,https://jobs.ashbyhq.com/gradera/fd0026f8-1aad-4e99-8b27-aef007532063
57,"Lead Software Engineer, Platform Engineering",Klaviyo,"Boston, MA",,$176k-264k,10,,https://www.klaviyo.com/careers/jobs/7806007003?gh_jid=7806007003
57,"Senior Director, Software Engineering",ZoomInfo,Remote,yes,,10,,https://www.zoominfo.com/careers?gh_jid=8581886002
56,Project Implementation Specialist,Empower Pharmacy,"Houston, TX",,,,,https://careers.empowerpharmacy.com/jobs?gh_jid=4329103009
56,"Senior Engineer, Business Intelligence",Ardent Health,Remote - Nationwide,yes,$91k-175k,5,,https://ensemblehp.wd5.myworkdayjobs.com/ensemblehealthpartnerscareers/job/Remote---Nationwide/Senior-Engineer--Business-Intelligence_R045575
56,Product Manager | Retail,Epicor,"US, Chicago Remote",yes,,,,https://epicorsoftware.wd5.myworkdayjobs.com/epicorjobs/job/US-Chicago-Remote/Product-Manager---Retail_JR104893
56,Data Analyst I,Garner Health,"New York City, New York",,$88k-110k,1,blocked,https://job-boards.greenhouse.io/garnerhealth/jobs/6144708004
56,Director Data Science,SageSure,"Jersey City, New Jersey, United States; Mountain View, California, United States",,,3,,https://www.sagesure.com/careers/current-job-openings?gh_jid=4704558006
55,Senior Site Reliability Engineer,Medallia,"McLean, Virginia, United States",,$128k-190k,5,,https://careers-medallia.icims.com/jobs/6354/login
55,Manufacturing Operations Project Manager,Stratasys,"Eden Prairie, MN, US",,$95k-125k,,,https://careers.stratasys.com/job/Eden-Prairie-Manufacturing-Operations-Project-Manager-MN-55343/1420983900
55,Software Development Manager,IDEXX,Virtual Maine,,,,,https://idexx.wd115.myworkdayjobs.com/idexx/job/Virtual-Maine/Software-Development-Manager_J-052349
55,Senior Production Test Systems Engineer,Acron Aviation,"Grand Rapids, MI",,,4,,https://jobs.lever.co/acronaviation/5b19cfac-5368-47c9-9a05-00d049ebc770
55,Staff Product Manager - GI Platform,Intuitive,"Sunnyvale, CA, United States",,,15,,https://jobs.smartrecruiters.com/Intuitive/744000144586329
54,Data Scientist,Empower Pharmacy,US Remote,yes,,5,,https://careers.empowerpharmacy.com/jobs?gh_jid=4371957009
54,LOS Implementation Consultant,ICE,"Jacksonville, Florida; Atlanta, Georgia; Omaha, Nebraska; Provo, Utah, United States",,,3,,https://careers-ice.icims.com/jobs/12957/login
54,AI and Data Product Manager,ICE,"Atlanta, Georgia; Jacksonville, Florida, United States",,,6,,https://careers-ice.icims.com/jobs/13358/login
54,Associate Full Stack Developer,ICE,"Jacksonville, Florida, United States",,,1,,https://careers-ice.icims.com/jobs/13402/login
54,(1527) Technical Project Manager,Nortal,Latin America - Remote,yes,,5,,https://job-boards.greenhouse.io/nortal/jobs/5201047007
54,"Platform Engineer, Public Sector",Exiger,"McLean, Virginia, United States; New York, New York, United States; Richmond, Virginia, United States",yes,,5,blocked,https://www.exiger.com/careers/6150362004?gh_jid=6150362004
53,"Product Manager, ICE Mortgage Technology",ICE,"Jacksonville, Florida, United States",,,5,,https://careers-ice.icims.com/jobs/12965/login
53,Implementation Manager,Impiricus,Remote,yes,$50k-55k,,,https://job-boards.greenhouse.io/impiricus/jobs/5387694008
53,Test Engineer - Mission Software (Top Secret/SCI Clearance Required),North Point Technology,"Alexandria, Virginia, United States",,,,blocked,https://job-boards.greenhouse.io/northpointtechnology/jobs/8761264002
53,Test Engineer - Mission Software (Top Secret/SCI Clearance Required),North Point Technology,"Chantilly, Virginia, United States",,,,blocked,https://job-boards.greenhouse.io/northpointtechnology/jobs/8761266002
53,Test Engineer - Mission Software (Top Secret/SCI Clearance Required),North Point Technology,"Englewood, Colorado, United States",,,,blocked,https://job-boards.greenhouse.io/northpointtechnology/jobs/8761267002
53,Test Engineer - Mission Software (Top Secret/SCI Clearance Required),North Point Technology,"Gaithersburg, Maryland, United States",,,,blocked,https://job-boards.greenhouse.io/northpointtechnology/jobs/8761268002
53,Test Engineer - Mission Software (Top Secret/SCI Clearance Required),North Point Technology,"St. Louis, Missouri, United States",,,,blocked,https://job-boards.greenhouse.io/northpointtechnology/jobs/8761269002
53,Test Engineer - Mission Software (Top Secret/SCI Clearance Required),North Point Technology,"Tucson, Arizona, United States",,,,blocked,https://job-boards.greenhouse.io/northpointtechnology/jobs/8761270002
53,Marketing Project Manager- Owala,Trove Brands,"Lehi, UT",,,4,,https://job-boards.greenhouse.io/trovebrands/jobs/4362680009
53,"Portfolio Manager, Design Operations",Tapestry,"New York, New York, USA (Corporate Headquarters)",,$90k-100k,4,,https://tapestry.wd108.myworkdayjobs.com/tapestry_careers/job/New-York-New-York-USA-Corporate-Headquarters/Project-Manager--Global-Store-Design_JR11511
52,"Senior Manager, Product Management",ICE,"Jacksonville, Florida, United States",,,11,,https://careers-ice.icims.com/jobs/13641/login
52,Project Manager,Ardent Health,Remote - Nationwide,yes,$69k-119k,1,,https://ensemblehp.wd5.myworkdayjobs.com/ensemblehealthpartnerscareers/job/Remote---Nationwide/Project-Manager_R049202
52,Sr. Product Manager,Ardent Health,Remote - Nationwide,yes,,3,,https://ensemblehp.wd5.myworkdayjobs.com/ensemblehealthpartnerscareers/job/Remote---Nationwide/Sr-Product-Manager_R047960
52,Technical Project Manager,Alteva RCM,Remote,yes,$70k-130k,3,,https://job-boards.greenhouse.io/altevarcm/jobs/4381009009
52,Data Scientist,Emmes Group,"Rockville, United States",,,3,,https://uscareers-emmes.icims.com/jobs/3478/login
51,Senior Product Manager - Healthcare,RF-SMART,"Distributed - US; Highlands Ranch, Colorado, United States; Jacksonville, Florida, United States",,,5,blocked,https://job-boards.greenhouse.io/rfsmart/jobs/5373975008
51,"Project Manager, ERP Implementation - Contractor",Tenstorrent,"Austin, Texas, United States; Santa Clara, California, United States",,$100k-500k,,,https://job-boards.greenhouse.io/tenstorrent/jobs/5208653007
51,Project Manager (Project Execution Organization),Innomotics,"New, PA, US",,$79k-169k,5,,https://jobs.innomotics.com/job/New-Kensington-Project-Manager-%28Project-Execution-Organization%29-PA-15068/1431235433
51,Sr. Strategic Procurement Specialist,Innomotics,"New, PA, US",,$97k-167k,,,https://jobs.innomotics.com/job/New-Kensington-Sr_-Strategic-Procurement-Specialist-PA-15068/1421009233
51,"Sr. Product Manager, Customer Asset Mgmt",Intuitive,"Sunnyvale, CA, United States",,,8,,https://jobs.smartrecruiters.com/Intuitive/744000145375754
51,Senior AI Data Science Engineer,Intuitive,"Sunnyvale, CA, United States",,,6,,https://jobs.smartrecruiters.com/Intuitive/744000146264889
51,Sr. Microsoft 365 Platform Engineer,Tapestry,"New York, New York, USA (Corporate Headquarters)",,,7,,https://tapestry.wd108.myworkdayjobs.com/tapestry_careers/job/New-York-New-York-USA-Corporate-Headquarters/Sr-Microsoft-365-Platform-Engineer_JR12154
50,Senior Product Manager,ICE,"Atlanta, Georgia, United States",,,,,https://careers-ice.icims.com/jobs/12600/login
50,Software Development Engineer,BeyondTrust,Remote United States,yes,,,,https://job-boards.greenhouse.io/beyondtrust/jobs/8119260
50,"Research Staff, Data Science",Deepgram,USA | Remote,yes,,,,https://jobs.ashbyhq.com/deepgram/fdb4073a-4c1c-48d6-b6d5-f407d3e78d17
50,Project Execution US Head of Finance,Innomotics,"New, PA, US",,$131k-224k,7,,https://jobs.innomotics.com/job/New-Kensington-Project-Execution-US-Head-of-Finance-PA-15068/1428430333
50,"Product Manager, Diagnostics - Global Services",Intuitive,"Sunnyvale, CA, United States",,,5,,https://jobs.smartrecruiters.com/Intuitive/744000141564530
50,Retail Technology Program Manager,Tapestry,"New York, New York, USA (Corporate Headquarters)",,,,,https://tapestry.wd108.myworkdayjobs.com/tapestry_careers/job/New-York-New-York-USA-Corporate-Headquarters/Retail-Technology-Program-Manager_JR13073
49,Principal Technical Product Manager,Empower Pharmacy,US Remote,yes,,12,,https://careers.empowerpharmacy.com/jobs?gh_jid=4361419009
49,Full Stack Software Engineer,ICE,"New York, New York, United States",,,2,,https://careers-ice.icims.com/jobs/13416/login
49,"Senior Manager, Software Engineering",Ardent Health,Remote - Nationwide,yes,,7,,https://ensemblehp.wd5.myworkdayjobs.com/ensemblehealthpartnerscareers/job/Remote---Nationwide/Manager--Software-Engineering_R040398
49,Senior Project Manager,Ardent Health,Remote - Nationwide,yes,$97k-145k,4,,https://ensemblehp.wd5.myworkdayjobs.com/ensemblehealthpartnerscareers/job/Remote---Nationwide/Senior-Project-Manager_R048547
49,"Sr Director, Strategic Initiatives",BeyondTrust,Remote United States,yes,,7,,https://job-boards.greenhouse.io/beyondtrust/jobs/8144973
49,(1519) Senior Product Manager,Nortal,Latin America - Remote,yes,,,,https://job-boards.greenhouse.io/nortal/jobs/5200681007
49,(1531) Senior Project Manager,Nortal,Latin America - Remote,yes,,,,https://job-boards.greenhouse.io/nortal/jobs/5206313007
49,Lead Embedded Software Engineer,Acron Aviation,"Phoenix, AZ",,,,,https://jobs.lever.co/acronaviation/36943aef-6293-48b1-b1eb-c26d1ef4ab3c
49,"Senior Product Manager, Intelligence",Everlywell,"Austin, TX",,,5,,https://jobs.lever.co/everlywell/b3d1f6b7-11b2-4a1d-a662-531270f5ff9d
49,Packaging Graphics & Product Label Specialist 3,Intuitive,"Sunnyvale, CA, United States",,,4,,https://jobs.smartrecruiters.com/Intuitive/744000142670249
48,Deployment Manager (Onsite role),Phenom,"Ambler, Pennsylvania, United States",,$90k-110k,3,,https://careers.phenom.com/us/en/job/P-104681
48,Project Manager - Regulatory Operations,Stratasys,"Rehovot (Hybrid), IL, IL",,,5,,https://careers.stratasys.com/job/Rehovot-%28Hybrid%29-Project-Manager-Regulatory-Operations-IL/1382487300
48,Construction Project Manager,Atoms,"Los Angeles, CA",,$139k-164k,7,,https://job-boards.greenhouse.io/atoms/jobs/8661023002
48,Software Quality Engineer,Lab37,"Pittsburgh, PA",,$180k-230k,,,https://job-boards.greenhouse.io/lab37/jobs/8299701002
48,Instrument Software Engineer,Intuitive,"Sunnyvale, CA, United States",,,3,,https://jobs.smartrecruiters.com/Intuitive/744000146220840
48,Senior DevOps Engineer - PA166,ZoomInfo,Remote,yes,$133k-209k,7,,https://www.zoominfo.com/careers?gh_jid=8733991002
47,Manual QA Analyst II,ICE,"Atlanta, Georgia, United States",,,3,,https://careers-ice.icims.com/jobs/13389/login
47,Staff Platform Engineer,2K,"Austin, Texas, United States",,,10,blocked,https://job-boards.greenhouse.io/2k/jobs/7829580003
47,Program Manager,Revivn,"Fresno, California",,,3,,https://job-boards.greenhouse.io/revivn/jobs/5225209007
46,"Client Services, Engagement Manager",Medallia,"McLean, Virginia, United States",,$101k-146k,,,https://careers-medallia.icims.com/jobs/6438/login
46,Senior Manufacturing Automation Engineer,Stratasys,"Eden Prairie, MN, US",,$94k-116k,5,,https://careers.stratasys.com/job/Eden-Prairie-Senior-Manufacturing-Automation-Engineer-MN-55343/1416634100
46,"Backend Engineer, Core APIs",Fingerprint,Remote,yes,$130k-180k,2,blocked,https://fingerprint.com/careers/jobs/apply?gh_jid=6143259004
46,Software Test Engineer,Deepgram,USA | Remote,yes,,5,,https://jobs.ashbyhq.com/deepgram/4a6b5eb2-4720-4ec8-8d7d-4ae0f7bbe2cc
46,"Research Engineer, Machine Learning Systems",Deepgram,USA | Remote,yes,,,,https://jobs.ashbyhq.com/deepgram/9a030b32-d671-43e0-a221-4653bb73ba29
46,Veeva CTMS Business Analyst,Alchemy,"Remote, US",yes,,,,https://www.indeed.com/viewjob?jk=c145ccf8b8df9234
46,Data Scientist,SageSure,"Chicago, Illinois, United States; Fairfield, California, United States; Houston, Texas, United States",,,5,,https://www.sagesure.com/careers/current-job-openings?gh_jid=4696985006
45,"Senior Engineer, Platform & Site Reliability",ICE,"Jacksonville, Florida; Atlanta, Georgia, United States",,,5,,https://careers-ice.icims.com/jobs/13233/login
45,"Staff Site Reliability Engineer, GovCloud",Medallia,"McLean, Virginia, United States",,$158k-230k,8,,https://careers-medallia.icims.com/jobs/6349/login
45,"Senior Director, Product Management, Medallia Experience Cloud & Shared Services",Medallia,"McLean, Virginia, United States",,$202k-305k,12,,https://careers-medallia.icims.com/jobs/6367/login
45,Senior Project Manager,Ardent Health,Remote - Nationwide,yes,$92k-159k,4,,https://ensemblehp.wd5.myworkdayjobs.com/ensemblehealthpartnerscareers/job/Remote---Nationwide/Senior-Project-Manager_R050236
45,Sr. Financial Analyst,Advanced Space,"Westminster, CO",,$105k-135k,7,blocked,https://job-boards.greenhouse.io/advancedspace/jobs/4381073009
45,Data Analyst,Merge,"San Francisco, CA",,,,,https://jobs.ashbyhq.com/merge/d21d3e7c-f090-43a5-9c69-799f517185e7
45,"Senior Data Scientist / Analyst, Finance",Polymarket,New York,,,,,https://jobs.ashbyhq.com/polymarket/269e8ca9-6bad-4fa7-90dd-cc9c35070eca
45,"Senior Director, Product Management, Medallia Experience Cloud & Shared Services",Medallia,"McLean, VA, US",,,,,https://jobs.medallia.com/jobs/6367/job?iis=Job+Board&iisn=Indeed&indeed-apply-token=73a2d2b2a8d6d5c0a62696875eaebd669103652d3f0c2cd5445d3e66b1592b0f
45,"Product Manager, SP Core Instruments and Accessories",Intuitive,"Sunnyvale, CA, United States",,,6,,https://jobs.smartrecruiters.com/Intuitive/744000144398909
45,Regulatory Affairs Specialist - Supporting China Product Registration,Intuitive,"Peachtree Corners, GA, United States",,,5,,https://jobs.smartrecruiters.com/Intuitive/744000144796899
45,"Senior Software Engineer, Asynchronous Processing",Klaviyo,"Boston, MA",,,6,,https://www.klaviyo.com/careers/jobs/7855795003?gh_jid=7855795003
44,"Site Reliability Engineer II, GovCloud",Medallia,"McLean, Virginia, United States",,$103k-155k,2,,https://careers-medallia.icims.com/jobs/6351/login
44,"Senior Product Manager, Language & Translation Platform",Medallia,"McLean, Virginia, United States",,$170k-250k,5,,https://careers-medallia.icims.com/jobs/6368/login
44,Staff Data Analyst,SmithRx,Remote,yes,$144k-170k,8,,https://job-boards.greenhouse.io/smithrx/jobs/8737760002
43,"Senior Site Reliability Engineer, GovCloud",Medallia,"McLean, Virginia, United States",,$128k-190k,5,,https://careers-medallia.icims.com/jobs/6350/login
43,Sr. Financial Analyst,Stratasys,"Minnetonka, MN, US",,$82k-101k,5,blocked,https://careers.stratasys.com/job/Minnetonka-Sr_-Financial-Analyst-MN-55305/1421752200
43,Senior Product Program Manager,Ardent Health,Work at Home - Ohio - Other,yes,,7,,https://ensemblehp.wd5.myworkdayjobs.com/ensemblehealthpartnerscareers/job/Work-at-Home---Ohio---Other/Senior-Program-Manager_R041793
43,Senior Software Engineer - Autonomous and Unmanned Systems (FedD178),Defense Unicorns,"Remote, United States ",yes,$148k-201k,5,blocked,https://job-boards.greenhouse.io/defenseunicorns/jobs/5205829007
43,Business Operations Associate,Honeycomb Insurance,"Chicago, IL",,$115k-125k,4,,https://job-boards.greenhouse.io/honeycombinsurance/jobs/4725468005
43,(1529) Senior Software Engineer Ruby on Rails,Nortal,Latin America - Remote,yes,,5,,https://job-boards.greenhouse.io/nortal/jobs/5204946007
43,"Database Engineer, Public Sector",Exiger,"McLean, Virginia, United States; New York, New York, United States; Richmond, Virginia, United States",yes,,,blocked,https://www.exiger.com/careers/6150395004?gh_jid=6150395004
42,Senior QA Engineer,Alteva RCM,Remote,yes,$90k-155k,5,,https://job-boards.greenhouse.io/altevarcm/jobs/4380949009
42,Platform Engineer - FedD180/FedD181,Defense Unicorns,"Remote, United States",yes,$123k-166k,,blocked,https://job-boards.greenhouse.io/defenseunicorns/jobs/5203690007
42,Staff Software Engineer - Next Gen,NetDocuments,"Lehi, Utah, United States; Remote - US",yes,,8,,https://job-boards.greenhouse.io/netdocuments/jobs/5383665008
42,"Specialist, Software Engineer (Functional Lead)",Acron Aviation,"Phoenix, AZ",,,4,,https://jobs.lever.co/acronaviation/b0d77ab1-9214-4c31-8b00-1061139ca223
42,"Sr Product Manager, Ion Instruments & Accessories",Intuitive,"Sunnyvale, CA, United States",,,5,,https://jobs.smartrecruiters.com/Intuitive/744000143148634
42,"Senior Software Engineer, Backend (Infrastructure)",Otter.ai,"Seattle, Washington, United States",,$185k-230k,5,,https://otter.ai/careers?gh_jid=7832658003
42,Infrastructure Automation Engineer,Tapestry,"New York, New York, USA (Corporate Headquarters)",,$130k-140k,7,,https://tapestry.wd108.myworkdayjobs.com/tapestry_careers/job/New-York-New-York-USA-Corporate-Headquarters/Infrastructure-Automation-Engineer_JR12727-1
42,Senior Software Engineer (L5),Exiger,"McLean, Virginia, United States; New York, New York, United States; Richmond, Virginia, United States",,,6,,https://www.exiger.com/careers/6147232004?gh_jid=6147232004
41,"Senior Backend Engineer, Core APIs (SRE Focus)",Fingerprint,Remote,yes,$150k-200k,5,blocked,https://fingerprint.com/careers/jobs/apply?gh_jid=6143257004
41,Sr. Software Engineer,Edmentum,"Bloomington, Minnesota, United States",yes,$130k-140k,5,,https://job-boards.greenhouse.io/edmentum/jobs/6133052004
41,Staff Site Reliability Engineer,Garner Health,Remote,yes,$241k-270k,7,,https://job-boards.greenhouse.io/garnerhealth/jobs/6147544004
41,(1524) Senior AEM Backend Developer,Nortal,Latin America - Remote,yes,,5,,https://job-boards.greenhouse.io/nortal/jobs/5200891007
41,"Senior Data Scientist, Data Flywheel",Deepgram,USA | Remote,yes,,,,https://jobs.ashbyhq.com/deepgram/ba60a541-fdf7-44bf-a6bb-0e821f15af54
41,Program Manager,Fieldguide,"San Francisco, CA or Remote (USA)",yes,,5,,https://jobs.ashbyhq.com/fieldguide/deadf4a3-0a6d-413e-b975-19699f964669
41,"Product Manager, Serviceability",Intuitive,"Sunnyvale, CA, United States",,,5,,https://jobs.smartrecruiters.com/Intuitive/744000145605089
41,Senior Data Engineer,Otter.ai,"Mountain View, CA",,$185k-230k,5,,https://otter.ai/careers?gh_jid=7866132003
41,Staff Software Engineer,SageSure,"Chicago, Illinois, United States; Jersey City, New Jersey, United States; Mountain View, California, United States",yes,,5,,https://www.sagesure.com/careers/current-job-openings?gh_jid=4707236006
40,Senior Site Reliability Engineer,ICE,"Jacksonville, Florida, United States",,,7,,https://careers-ice.icims.com/jobs/12364/login
40,"Technical Product Manager, Data Insights",Fingerprint,Remote,yes,$126k-170k,3,blocked,https://fingerprint.com/careers/jobs/apply?gh_jid=6140406004
40,"Software Engineer, Trading Product",Aptos Labs,"San Francisco, CA",,$150k-250k,3,,https://job-boards.greenhouse.io/aptoslabs/jobs/4720895005
40,Senior Vehicle Integration Engineer,Atoms,"San Francisco, CA",,$176k-242k,3,,https://job-boards.greenhouse.io/atoms/jobs/8756215002
40,Senior Software Engineer - UDS Foundations Team (RD182B),Defense Unicorns,"Remote, United States ",yes,$123k-201k,5,,https://job-boards.greenhouse.io/defenseunicorns/jobs/5203390007
40,SkillBridge Intern - Technical Product Marketing Manager (SMM192),Defense Unicorns,Remote,yes,$116k-158k,4,,https://job-boards.greenhouse.io/defenseunicorns/jobs/5210327007
40,Senior Product Manager - AI,NetDocuments,Remote - US,yes,$120k-150k,4,,https://job-boards.greenhouse.io/netdocuments/jobs/5383595008
40,SWE (LATM),AfterQuery,San Francisco (Remote),yes,,5,,https://jobs.ashbyhq.com/afterquery/f7fa22af-3a09-4cbe-9b7b-bf8719ff9bae
40,"Principal Data Analyst, Product",ClickUp,United States,,,,blocked,https://jobs.ashbyhq.com/clickup/de33a412-8af0-4e80-832c-9876e7f9d11c
40,Product Manager,Vendelux,"New York, NY",,,5,,https://jobs.ashbyhq.com/vendelux/e38facad-da59-4abc-90e0-68a1bede9583
40,Revenue Operations Staff Systems Engineer,Arcadia,Remote (USA),yes,,5,,https://jobs.lever.co/arcadia/de04a85c-78c2-4b90-ad4e-31c94e0987f3
40,"Director, Product Management, Platform Services",Medallia,"McLean, VA, US",,,,,https://jobs.medallia.com/jobs/6352/job?iis=Job+Board&iisn=Indeed&indeed-apply-token=73a2d2b2a8d6d5c0a62696875eaebd669103652d3f0c2cd5445d3e66b1592b0f
39,"Data Scientist, Global Quantitative Research",ICE,"Atlanta, Georgia, United States",,,,,https://careers-ice.icims.com/jobs/13447/login
39,"Senior Director, Operational Strategic Initiatives",Ardent Health,Remote - Nationwide,yes,$117k-176k,,,https://ensemblehp.wd5.myworkdayjobs.com/ensemblehealthpartnerscareers/job/Remote---Nationwide/Senior-Director--Operational-Strategic-Initiatives_R048025-1
39,Platform Engineer (FedD200/ FedD201/ FedD202),Defense Unicorns,"Remote, United States",yes,$123k-166k,,blocked,https://job-boards.greenhouse.io/defenseunicorns/jobs/5223131007
39,Principal Product Manager,Edmentum,United States,yes,$165k-185k,,,https://job-boards.greenhouse.io/edmentum/jobs/6145166004
39,Site Reliability Engineer - Public Sector,Blitzy,Remote ,yes,$140k-170k,3,blocked,https://jobs.ashbyhq.com/blitzy/0cd8c412-15f3-4139-a162-50c2f7957d64
39,AWS Data Engineer,Clera,remote,yes,,5,,https://jobs.ashbyhq.com/clera/57f507fc-6ebb-430c-974e-414e5ca14c28
39,"Senior Backend Engineer, Adopt",Scribe,Remote ,yes,,5,,https://jobs.ashbyhq.com/scribe/7db33881-a07c-423c-8b94-98676dec8965
39,Robotic Algorithms and Controls Engineer (Systems Analyst),Intuitive,"Sunnyvale, CA, United States",,,6,,https://jobs.smartrecruiters.com/Intuitive/744000143368039
39,"Staff Software Engineer, Backend (Infrastructure)",Otter.ai,"Seattle, Washington, United States",,$210k-275k,10,,https://otter.ai/careers?gh_jid=7832661003
38,Staff QA Automation Engineer,Empower Pharmacy,US Remote,yes,,,,https://careers.empowerpharmacy.com/jobs?gh_jid=4329120009
38,"Staff Technical Program Manager, AI",Medallia,"McLean, Virginia, United States",,$139k-222k,10,,https://careers-medallia.icims.com/jobs/6340/login
38,"Senior Software Engineer, Back-End (Java)",Medallia,"McLean, Virginia, United States",,$135k-210k,5,,https://careers-medallia.icims.com/jobs/6360/login
38,"Senior Platform Software Engineer, Platform Services",Medallia,"McLean, Virginia, United States",,$138k-205k,5,,https://careers-medallia.icims.com/jobs/6364/login
38,"Senior Software Engineer, Front-End (React)",Medallia,"McLean, Virginia, United States",,,6,,https://careers-medallia.icims.com/jobs/6365/login
38,"Senior Software Engineer, Trading Infrastructure",Aptos Labs,"Palo Alto, California, New York City, New York, and Remote - United States",yes,$150k-250k,5,,https://job-boards.greenhouse.io/aptoslabs/jobs/4720881005
38,Platform Engineer,Defense Unicorns,United States - Remote,yes,$123k-166k,,blocked,https://job-boards.greenhouse.io/defenseunicorns/jobs/5208110007
38,Applied Scientist III,Garner Health,"New York City, New York",,$200k-230k,4,,https://job-boards.greenhouse.io/garnerhealth/jobs/6121272004
38,"Senior Data Scientist / Analyst, Fraud & Risk",Polymarket,New York,,,,,https://jobs.ashbyhq.com/polymarket/4df7b096-1d82-4f09-9a17-665247b2c855
38,Senior Analytics Engineer,Polymarket,New York,,,7,,https://jobs.ashbyhq.com/polymarket/924af835-ffcb-47b3-873c-6effe1104844
